netA,netB,pvalue,percentage,behavior,condition,pill,sign
visB,motor,0.9299092515229213,30.0,arousal,alc,cortisol,pos
visB,visA,0.3784448150946975,22.0,arousal,alc,cortisol,pos
visB,visB,0.003372770570511663,20.0,arousal,alc,cortisol,pos
visB,visassoc,1.2717956199281844e-07,62.0,arousal,alc,cortisol,pos
visB,salience,0.6082927595895034,33.0,arousal,alc,cortisol,pos
visB,subcort,0.9940062619885681,0.0,arousal,alc,cortisol,pos
visB,cerebell,0.9979425478773332,1.0,arousal,alc,cortisol,pos
visassoc,medfront,0.9999999648505208,33.0,arousal,alc,cortisol,pos
visassoc,frontoparietal,0.3071044224317172,136.0,arousal,alc,cortisol,pos
visassoc,DMN,0.19247006509995535,60.0,arousal,alc,cortisol,pos
visassoc,motor,0.999999999999693,23.0,arousal,alc,cortisol,pos
visassoc,visA,0.7699650146101182,44.0,arousal,alc,cortisol,pos
visassoc,visB,1.2717956199281844e-07,62.0,arousal,alc,cortisol,pos
visassoc,visassoc,5.469811960301385e-05,96.0,arousal,alc,cortisol,pos
visassoc,salience,0.9999299898677132,42.0,arousal,alc,cortisol,pos
visassoc,subcort,0.9984671326869025,6.0,arousal,alc,cortisol,pos
visassoc,cerebell,0.7282471884807264,25.0,arousal,alc,cortisol,pos
salience,medfront,0.006647757333664073,192.0,arousal,alc,cortisol,pos
salience,frontoparietal,0.00010754305377735918,277.0,arousal,alc,cortisol,pos
salience,DMN,0.11417426580514323,96.0,arousal,alc,cortisol,pos
salience,motor,0.9999999993897061,73.0,arousal,alc,cortisol,pos
salience,visA,0.9987771393236642,47.0,arousal,alc,cortisol,pos
salience,visB,0.6082927595895034,33.0,arousal,alc,cortisol,pos
salience,visassoc,0.9999299898677132,42.0,arousal,alc,cortisol,pos
salience,salience,0.9999982978267683,66.0,arousal,alc,cortisol,pos
salience,subcort,0.9999955835690237,6.0,arousal,alc,cortisol,pos
salience,cerebell,0.9999425190927678,14.0,arousal,alc,cortisol,pos
subcort,medfront,0.9949582571119436,21.0,arousal,alc,cortisol,pos
subcort,frontoparietal,0.9768888496273078,36.0,arousal,alc,cortisol,pos
subcort,DMN,0.9971768443976182,7.0,arousal,alc,cortisol,pos
subcort,motor,0.9999999993777607,3.0,arousal,alc,cortisol,pos
subcort,visA,0.9999029538901067,3.0,arousal,alc,cortisol,pos
subcort,visB,0.9940062619885681,0.0,arousal,alc,cortisol,pos
subcort,visassoc,0.9984671326869025,6.0,arousal,alc,cortisol,pos
subcort,salience,0.9999955835690237,6.0,arousal,alc,cortisol,pos
subcort,subcort,0.9624361484685783,2.0,arousal,alc,cortisol,pos
subcort,cerebell,0.9902177493115992,3.0,arousal,alc,cortisol,pos
cerebell,medfront,1.1583111010127212e-05,97.0,arousal,alc,cortisol,pos
cerebell,frontoparietal,0.0,196.0,arousal,alc,cortisol,pos
cerebell,DMN,0.10713386397844216,37.0,arousal,alc,cortisol,pos
cerebell,motor,0.9999665403211758,20.0,arousal,alc,cortisol,pos
cerebell,visA,0.9872170848008747,13.0,arousal,alc,cortisol,pos
cerebell,visB,0.9979425478773332,1.0,arousal,alc,cortisol,pos
cerebell,visassoc,0.7282471884807264,25.0,arousal,alc,cortisol,pos
cerebell,salience,0.9999425190927678,14.0,arousal,alc,cortisol,pos
cerebell,subcort,0.9902177493115992,3.0,arousal,alc,cortisol,pos
cerebell,cerebell,0.12565674249285452,20.0,arousal,alc,cortisol,pos
medfront,medfront,0.9999999609221395,8.0,arousal,alc,placebo,pos
medfront,frontoparietal,0.9999999999627688,10.0,arousal,alc,placebo,pos
medfront,DMN,0.9997998471245637,7.0,arousal,alc,placebo,pos
medfront,motor,0.9918788618382005,37.0,arousal,alc,placebo,pos
medfront,visA,0.9972778516447305,11.0,arousal,alc,placebo,pos
medfront,visB,1.027478600623688e-05,39.0,arousal,alc,placebo,pos
medfront,visassoc,0.9999127844443422,7.0,arousal,alc,placebo,pos
medfront,salience,0.999994654338238,12.0,arousal,alc,placebo,pos
medfront,subcort,0.3933675519582184,14.0,arousal,alc,placebo,pos
medfront,cerebell,0.9248598587791388,8.0,arousal,alc,placebo,pos
frontoparietal,medfront,0.9999999999627688,10.0,arousal,alc,placebo,pos
frontoparietal,frontoparietal,0.9998076137512699,52.0,arousal,alc,placebo,pos
frontoparietal,DMN,0.9638558057049387,24.0,arousal,alc,placebo,pos
frontoparietal,motor,0.0004818259669359115,127.0,arousal,alc,placebo,pos
frontoparietal,visA,0.15468528715715757,49.0,arousal,alc,placebo,pos
frontoparietal,visB,0.0,88.0,arousal,alc,placebo,pos
frontoparietal,visassoc,0.4745581096979866,43.0,arousal,alc,placebo,pos
frontoparietal,salience,0.9997615788736022,31.0,arousal,alc,placebo,pos
frontoparietal,subcort,0.8265197369290509,12.0,arousal,alc,placebo,pos
frontoparietal,cerebell,0.5833541573828003,21.0,arousal,alc,placebo,pos
DMN,medfront,0.9997998471245637,7.0,arousal,alc,placebo,pos
DMN,frontoparietal,0.9638558057049387,24.0,arousal,alc,placebo,pos
DMN,DMN,0.5273565044979789,14.0,arousal,alc,placebo,pos
DMN,motor,0.7885409417144259,26.0,arousal,alc,placebo,pos
DMN,visA,0.19387710769997124,21.0,arousal,alc,placebo,pos
DMN,visB,0.003067002373122296,19.0,arousal,alc,placebo,pos
DMN,visassoc,0.25283829427752336,21.0,arousal,alc,placebo,pos
DMN,salience,0.033748126585177896,41.0,arousal,alc,placebo,pos
DMN,subcort,0.0378807775466633,14.0,arousal,alc,placebo,pos
DMN,cerebell,0.31375667372763205,11.0,arousal,alc,placebo,pos
motor,medfront,0.9918788618382005,37.0,arousal,alc,placebo,pos
motor,frontoparietal,0.0004818259669359115,127.0,arousal,alc,placebo,pos
motor,DMN,0.7885409417144259,26.0,arousal,alc,placebo,pos
motor,motor,0.271452637954668,74.0,arousal,alc,placebo,pos
motor,visA,0.006682492424080921,55.0,arousal,alc,placebo,pos
motor,visB,0.0,85.0,arousal,alc,placebo,pos
motor,visassoc,0.984999304327212,19.0,arousal,alc,placebo,pos
motor,salience,0.9999316004914198,20.0,arousal,alc,placebo,pos
motor,subcort,0.7962188077448571,10.0,arousal,alc,placebo,pos
motor,cerebell,0.839235044337467,13.0,arousal,alc,placebo,pos
visA,medfront,0.9972778516447305,11.0,arousal,alc,placebo,pos
visA,frontoparietal,0.15468528715715757,49.0,arousal,alc,placebo,pos
visA,DMN,0.19387710769997124,21.0,arousal,alc,placebo,pos
visA,motor,0.006682492424080921,55.0,arousal,alc,placebo,pos
visA,visA,0.26320440617608254,18.0,arousal,alc,placebo,pos
visA,visB,2.107574115228772e-08,35.0,arousal,alc,placebo,pos
visA,visassoc,0.00021694207310041236,41.0,arousal,alc,placebo,pos
visA,salience,0.7021137221343985,23.0,arousal,alc,placebo,pos
visA,subcort,0.8942439532008719,2.0,arousal,alc,placebo,pos
visA,cerebell,0.4882970288323162,9.0,arousal,alc,placebo,pos
visB,medfront,1.027478600623688e-05,39.0,arousal,alc,placebo,pos
visB,frontoparietal,0.0,88.0,arousal,alc,placebo,pos
visB,DMN,0.003067002373122296,19.0,arousal,alc,placebo,pos
visB,motor,0.0,85.0,arousal,alc,placebo,pos
visB,visA,2.107574115228772e-08,35.0,arousal,alc,placebo,pos
visB,visB,1.5103512884806491e-09,24.0,arousal,alc,placebo,pos
visB,visassoc,1.7360836102042754e-09,38.0,arousal,alc,placebo,pos
visB,salience,0.0001065229956994651,32.0,arousal,alc,placebo,pos
visB,subcort,0.8095203380959064,0.0,arousal,alc,placebo,pos
visB,cerebell,1.3324009895399058e-08,27.0,arousal,alc,placebo,pos
visassoc,medfront,0.9999127844443422,7.0,arousal,alc,placebo,pos
visassoc,frontoparietal,0.4745581096979866,43.0,arousal,alc,placebo,pos
visassoc,DMN,0.25283829427752336,21.0,arousal,alc,placebo,pos
visassoc,motor,0.984999304327212,19.0,arousal,alc,placebo,pos
visassoc,visA,0.00021694207310041236,41.0,arousal,alc,placebo,pos
visassoc,visB,1.7360836102042754e-09,38.0,arousal,alc,placebo,pos
visassoc,visassoc,1.2212453270876722e-15,80.0,arousal,alc,placebo,pos
visassoc,salience,0.6864234993420621,25.0,arousal,alc,placebo,pos
visassoc,subcort,0.983187307838387,0.0,arousal,alc,placebo,pos
visassoc,cerebell,0.9930067651711989,1.0,arousal,alc,placebo,pos
salience,medfront,0.999994654338238,12.0,arousal,alc,placebo,pos
salience,frontoparietal,0.9997615788736022,31.0,arousal,alc,placebo,pos
salience,DMN,0.033748126585177896,41.0,arousal,alc,placebo,pos
salience,motor,0.9999316004914198,20.0,arousal,alc,placebo,pos
salience,visA,0.7021137221343985,23.0,arousal,alc,placebo,pos
salience,visB,0.0001065229956994651,32.0,arousal,alc,placebo,pos
salience,visassoc,0.6864234993420621,25.0,arousal,alc,placebo,pos
salience,salience,0.9999996156446902,6.0,arousal,alc,placebo,pos
salience,subcort,0.7582240392845598,8.0,arousal,alc,placebo,pos
salience,cerebell,0.9962332274287772,2.0,arousal,alc,placebo,pos
subcort,medfront,0.3933675519582184,14.0,arousal,alc,placebo,pos
subcort,frontoparietal,0.8265197369290509,12.0,arousal,alc,placebo,pos
subcort,DMN,0.0378807775466633,14.0,arousal,alc,placebo,pos
subcort,motor,0.7962188077448571,10.0,arousal,alc,placebo,pos
subcort,visA,0.8942439532008719,2.0,arousal,alc,placebo,pos
subcort,visB,0.8095203380959064,0.0,arousal,alc,placebo,pos
subcort,visassoc,0.983187307838387,0.0,arousal,alc,placebo,pos
subcort,salience,0.7582240392845598,8.0,arousal,alc,placebo,pos
subcort,subcort,0.8095203380959064,0.0,arousal,alc,placebo,pos
subcort,cerebell,0.8856922717034785,0.0,arousal,alc,placebo,pos
cerebell,medfront,0.9248598587791388,8.0,arousal,alc,placebo,pos
cerebell,frontoparietal,0.5833541573828003,21.0,arousal,alc,placebo,pos
cerebell,DMN,0.31375667372763205,11.0,arousal,alc,placebo,pos
cerebell,motor,0.839235044337467,13.0,arousal,alc,placebo,pos
cerebell,visA,0.4882970288323162,9.0,arousal,alc,placebo,pos
cerebell,visB,1.3324009895399058e-08,27.0,arousal,alc,placebo,pos
cerebell,visassoc,0.9930067651711989,1.0,arousal,alc,placebo,pos
cerebell,salience,0.9962332274287772,2.0,arousal,alc,placebo,pos
cerebell,subcort,0.8856922717034785,0.0,arousal,alc,placebo,pos
cerebell,cerebell,0.23150095442498353,6.0,arousal,alc,placebo,pos
medfront,medfront,0.9999999774178907,28.0,arousal,tool,cortisol,pos
medfront,frontoparietal,0.257625157336441,134.0,arousal,tool,cortisol,pos
medfront,DMN,0.9999554519243458,16.0,arousal,tool,cortisol,pos
medfront,motor,0.9999870504823284,51.0,arousal,tool,cortisol,pos
medfront,visA,0.8864658099404237,39.0,arousal,tool,cortisol,pos
medfront,visB,0.02921640256275415,35.0,arousal,tool,cortisol,pos
medfront,visassoc,0.9370165455652053,38.0,arousal,tool,cortisol,pos
medfront,salience,0.9993097911774353,47.0,arousal,tool,cortisol,pos
medfront,subcort,0.9792520422753122,10.0,arousal,tool,cortisol,pos
medfront,cerebell,0.01089206780242602,46.0,arousal,tool,cortisol,pos
frontoparietal,medfront,0.257625157336441,134.0,arousal,tool,cortisol,pos
frontoparietal,frontoparietal,4.521420359093753e-05,238.0,arousal,tool,cortisol,pos
frontoparietal,DMN,0.9999991880718432,20.0,arousal,tool,cortisol,pos
frontoparietal,motor,0.004685922881043192,184.0,arousal,tool,cortisol,pos
frontoparietal,visA,0.17287768087710143,78.0,arousal,tool,cortisol,pos
frontoparietal,visB,0.0,134.0,arousal,tool,cortisol,pos
frontoparietal,visassoc,0.001918155205027361,109.0,arousal,tool,cortisol,pos
frontoparietal,salience,0.0004790590319839749,164.0,arousal,tool,cortisol,pos
frontoparietal,subcort,0.42720198625539774,33.0,arousal,tool,cortisol,pos
frontoparietal,cerebell,1.5543122344752192e-15,123.0,arousal,tool,cortisol,pos
DMN,medfront,0.9999554519243458,16.0,arousal,tool,cortisol,pos
DMN,frontoparietal,0.9999991880718432,20.0,arousal,tool,cortisol,pos
DMN,DMN,0.9975010528546076,8.0,arousal,tool,cortisol,pos
DMN,motor,0.9999989438016372,14.0,arousal,tool,cortisol,pos
DMN,visA,0.9945007248847015,11.0,arousal,tool,cortisol,pos
DMN,visB,0.7191955745833407,9.0,arousal,tool,cortisol,pos
DMN,visassoc,0.9971115834274896,10.0,arousal,tool,cortisol,pos
DMN,salience,0.9999797314508317,13.0,arousal,tool,cortisol,pos
DMN,subcort,0.9892325887805167,2.0,arousal,tool,cortisol,pos
DMN,cerebell,0.9555198944953102,7.0,arousal,tool,cortisol,pos
motor,medfront,0.9999870504823284,51.0,arousal,tool,cortisol,pos
motor,frontoparietal,0.004685922881043192,184.0,arousal,tool,cortisol,pos
motor,DMN,0.9999989438016372,14.0,arousal,tool,cortisol,pos
motor,motor,0.9999999968652206,40.0,arousal,tool,cortisol,pos
motor,visA,0.04911431772149033,75.0,arousal,tool,cortisol,pos
motor,visB,1.4979585349905733e-09,74.0,arousal,tool,cortisol,pos
motor,visassoc,0.28337357771151983,67.0,arousal,tool,cortisol,pos
motor,salience,0.9943548906214872,62.0,arousal,tool,cortisol,pos
motor,subcort,0.9974431560193446,8.0,arousal,tool,cortisol,pos
motor,cerebell,0.013467003319345805,51.0,arousal,tool,cortisol,pos
visA,medfront,0.8864658099404237,39.0,arousal,tool,cortisol,pos
visA,frontoparietal,0.17287768087710143,78.0,arousal,tool,cortisol,pos
visA,DMN,0.9945007248847015,11.0,arousal,tool,cortisol,pos
visA,motor,0.04911431772149033,75.0,arousal,tool,cortisol,pos
visA,visA,0.9924640281867348,10.0,arousal,tool,cortisol,pos
visA,visB,0.1489970824904977,16.0,arousal,tool,cortisol,pos
visA,visassoc,0.160089690108149,37.0,arousal,tool,cortisol,pos
visA,salience,0.9922005834657754,24.0,arousal,tool,cortisol,pos
visA,subcort,0.9985988107397888,1.0,arousal,tool,cortisol,pos
visA,cerebell,0.8951394769379317,8.0,arousal,tool,cortisol,pos
visB,medfront,0.02921640256275415,35.0,arousal,tool,cortisol,pos
visB,frontoparietal,0.0,134.0,arousal,tool,cortisol,pos
visB,DMN,0.7191955745833407,9.0,arousal,tool,cortisol,pos
visB,motor,1.4979585349905733e-09,74.0,arousal,tool,cortisol,pos
visB,visA,0.1489970824904977,16.0,arousal,tool,cortisol,pos
visB,visB,0.002752216459686596,14.0,arousal,tool,cortisol,pos
visB,visassoc,2.1881732474859916e-06,40.0,arousal,tool,cortisol,pos
visB,salience,0.024683026132593322,33.0,arousal,tool,cortisol,pos
visB,subcort,0.3070768845318911,6.0,arousal,tool,cortisol,pos
visB,cerebell,0.8557104608037095,3.0,arousal,tool,cortisol,pos
visassoc,medfront,0.9370165455652053,38.0,arousal,tool,cortisol,pos
visassoc,frontoparietal,0.001918155205027361,109.0,arousal,tool,cortisol,pos
visassoc,DMN,0.9971115834274896,10.0,arousal,tool,cortisol,pos
visassoc,motor,0.28337357771151983,67.0,arousal,tool,cortisol,pos
visassoc,visA,0.160089690108149,37.0,arousal,tool,cortisol,pos
visassoc,visB,2.1881732474859916e-06,40.0,arousal,tool,cortisol,pos
visassoc,visassoc,0.3592277660944563,32.0,arousal,tool,cortisol,pos
visassoc,salience,0.26887638441260453,55.0,arousal,tool,cortisol,pos
visassoc,subcort,0.5360543126290779,13.0,arousal,tool,cortisol,pos
visassoc,cerebell,0.004886664650396999,32.0,arousal,tool,cortisol,pos
salience,medfront,0.9993097911774353,47.0,arousal,tool,cortisol,pos
salience,frontoparietal,0.0004790590319839749,164.0,arousal,tool,cortisol,pos
salience,DMN,0.9999797314508317,13.0,arousal,tool,cortisol,pos
salience,motor,0.9943548906214872,62.0,arousal,tool,cortisol,pos
salience,visA,0.9922005834657754,24.0,arousal,tool,cortisol,pos
salience,visB,0.024683026132593322,33.0,arousal,tool,cortisol,pos
salience,visassoc,0.26887638441260453,55.0,arousal,tool,cortisol,pos
salience,salience,0.9897490535299575,48.0,arousal,tool,cortisol,pos
salience,subcort,0.9987112116865432,4.0,arousal,tool,cortisol,pos
salience,cerebell,0.1657227598945773,33.0,arousal,tool,cortisol,pos
subcort,medfront,0.9792520422753122,10.0,arousal,tool,cortisol,pos
subcort,frontoparietal,0.42720198625539774,33.0,arousal,tool,cortisol,pos
subcort,DMN,0.9892325887805167,2.0,arousal,tool,cortisol,pos
subcort,motor,0.9974431560193446,8.0,arousal,tool,cortisol,pos
subcort,visA,0.9985988107397888,1.0,arousal,tool,cortisol,pos
subcort,visB,0.3070768845318911,6.0,arousal,tool,cortisol,pos
subcort,visassoc,0.5360543126290779,13.0,arousal,tool,cortisol,pos
subcort,salience,0.9987112116865432,4.0,arousal,tool,cortisol,pos
subcort,subcort,0.9418515929030477,0.0,arousal,tool,cortisol,pos
subcort,cerebell,0.8841869785202346,2.0,arousal,tool,cortisol,pos
cerebell,medfront,0.01089206780242602,46.0,arousal,tool,cortisol,pos
cerebell,frontoparietal,1.5543122344752192e-15,123.0,arousal,tool,cortisol,pos
cerebell,DMN,0.9555198944953102,7.0,arousal,tool,cortisol,pos
cerebell,motor,0.013467003319345805,51.0,arousal,tool,cortisol,pos
cerebell,visA,0.8951394769379317,8.0,arousal,tool,cortisol,pos
cerebell,visB,0.8557104608037095,3.0,arousal,tool,cortisol,pos
cerebell,visassoc,0.004886664650396999,32.0,arousal,tool,cortisol,pos
cerebell,salience,0.1657227598945773,33.0,arousal,tool,cortisol,pos
cerebell,subcort,0.8841869785202346,2.0,arousal,tool,cortisol,pos
cerebell,cerebell,0.9857767552730363,0.0,arousal,tool,cortisol,pos
medfront,medfront,0.99999975535931,2.0,arousal,tool,placebo,pos
medfront,frontoparietal,0.9984104252416691,23.0,arousal,tool,placebo,pos
medfront,DMN,0.9329063869813143,11.0,arousal,tool,placebo,pos
medfront,motor,0.999962020792988,10.0,arousal,tool,placebo,pos
medfront,visA,0.9995218802989834,3.0,arousal,tool,placebo,pos
medfront,visB,0.8053129566519273,4.0,arousal,tool,placebo,pos
medfront,visassoc,0.6172258024879433,18.0,arousal,tool,placebo,pos
medfront,salience,0.7733080728210394,27.0,arousal,tool,placebo,pos
medfront,subcort,0.9907199441655608,1.0,arousal,tool,placebo,pos
medfront,cerebell,0.9210853628790541,4.0,arousal,tool,placebo,pos
frontoparietal,medfront,0.9984104252416691,23.0,arousal,tool,placebo,pos
frontoparietal,frontoparietal,0.4215529525664341,66.0,arousal,tool,placebo,pos
frontoparietal,DMN,0.1897017696744483,33.0,arousal,tool,placebo,pos
frontoparietal,motor,0.06743126663008048,71.0,arousal,tool,placebo,pos
frontoparietal,visA,0.030369909355285385,40.0,arousal,tool,placebo,pos
frontoparietal,visB,0.03333296589368284,21.0,arousal,tool,placebo,pos
frontoparietal,visassoc,1.0796972718551956e-05,65.0,arousal,tool,placebo,pos
frontoparietal,salience,0.1799114507747731,52.0,arousal,tool,placebo,pos
frontoparietal,subcort,0.9495285229546349,5.0,arousal,tool,placebo,pos
frontoparietal,cerebell,0.08176671321493345,22.0,arousal,tool,placebo,pos
DMN,medfront,0.9329063869813143,11.0,arousal,tool,placebo,pos
DMN,frontoparietal,0.1897017696744483,33.0,arousal,tool,placebo,pos
DMN,DMN,0.01764841517027982,20.0,arousal,tool,placebo,pos
DMN,motor,0.9990760358059835,5.0,arousal,tool,placebo,pos
DMN,visA,0.00014258394454014223,30.0,arousal,tool,placebo,pos
DMN,visB,0.4177489694905103,5.0,arousal,tool,placebo,pos
DMN,visassoc,0.0008606339459156231,29.0,arousal,tool,placebo,pos
DMN,salience,0.021432775396869608,31.0,arousal,tool,placebo,pos
DMN,subcort,0.7211940695899403,2.0,arousal,tool,placebo,pos
DMN,cerebell,0.5947074913535584,5.0,arousal,tool,placebo,pos
motor,medfront,0.999962020792988,10.0,arousal,tool,placebo,pos
motor,frontoparietal,0.06743126663008048,71.0,arousal,tool,placebo,pos
motor,DMN,0.9990760358059835,5.0,arousal,tool,placebo,pos
motor,motor,0.9683581079390025,28.0,arousal,tool,placebo,pos
motor,visA,0.9876568854993796,8.0,arousal,tool,placebo,pos
motor,visB,0.7166049396570255,6.0,arousal,tool,placebo,pos
motor,visassoc,0.22129397702482612,29.0,arousal,tool,placebo,pos
motor,salience,0.962071959161376,22.0,arousal,tool,placebo,pos
motor,subcort,0.9676995554669717,3.0,arousal,tool,placebo,pos
motor,cerebell,0.8798322984646414,6.0,arousal,tool,placebo,pos
visA,medfront,0.9995218802989834,3.0,arousal,tool,placebo,pos
visA,frontoparietal,0.030369909355285385,40.0,arousal,tool,placebo,pos
visA,DMN,0.00014258394454014223,30.0,arousal,tool,placebo,pos
visA,motor,0.9876568854993796,8.0,arousal,tool,placebo,pos
visA,visA,3.186340080674199e-14,58.0,arousal,tool,placebo,pos
visA,visB,0.4177489694905103,5.0,arousal,tool,placebo,pos
visA,visassoc,1.5963627086890142e-09,48.0,arousal,tool,placebo,pos
visA,salience,0.799664601434245,12.0,arousal,tool,placebo,pos
visA,subcort,0.9218782096955785,1.0,arousal,tool,placebo,pos
visA,cerebell,0.8137409453499743,2.0,arousal,tool,placebo,pos
visB,medfront,0.8053129566519273,4.0,arousal,tool,placebo,pos
visB,frontoparietal,0.03333296589368284,21.0,arousal,tool,placebo,pos
visB,DMN,0.4177489694905103,5.0,arousal,tool,placebo,pos
visB,motor,0.7166049396570255,6.0,arousal,tool,placebo,pos
visB,visA,0.4177489694905103,5.0,arousal,tool,placebo,pos
visB,visB,0.06835984904473102,4.0,arousal,tool,placebo,pos
visB,visassoc,0.10814277148925688,9.0,arousal,tool,placebo,pos
visB,salience,0.20048580167661445,11.0,arousal,tool,placebo,pos
visB,subcort,0.6684056904101858,0.0,arousal,tool,placebo,pos
visB,cerebell,0.7367091317717344,1.0,arousal,tool,placebo,pos
visassoc,medfront,0.6172258024879433,18.0,arousal,tool,placebo,pos
visassoc,frontoparietal,1.0796972718551956e-05,65.0,arousal,tool,placebo,pos
visassoc,DMN,0.0008606339459156231,29.0,arousal,tool,placebo,pos
visassoc,motor,0.22129397702482612,29.0,arousal,tool,placebo,pos
visassoc,visA,1.5963627086890142e-09,48.0,arousal,tool,placebo,pos
visassoc,visB,0.10814277148925688,9.0,arousal,tool,placebo,pos
visassoc,visassoc,3.605676013318515e-06,38.0,arousal,tool,placebo,pos
visassoc,salience,0.00939986971604967,34.0,arousal,tool,placebo,pos
visassoc,subcort,0.9341069912589809,0.0,arousal,tool,placebo,pos
visassoc,cerebell,0.04807674106566273,13.0,arousal,tool,placebo,pos
salience,medfront,0.7733080728210394,27.0,arousal,tool,placebo,pos
salience,frontoparietal,0.1799114507747731,52.0,arousal,tool,placebo,pos
salience,DMN,0.021432775396869608,31.0,arousal,tool,placebo,pos
salience,motor,0.962071959161376,22.0,arousal,tool,placebo,pos
salience,visA,0.799664601434245,12.0,arousal,tool,placebo,pos
salience,visB,0.20048580167661445,11.0,arousal,tool,placebo,pos
salience,visassoc,0.00939986971604967,34.0,arousal,tool,placebo,pos
salience,salience,0.9249994215141072,18.0,arousal,tool,placebo,pos
salience,subcort,0.9247963956888536,3.0,arousal,tool,placebo,pos
salience,cerebell,0.7541055477450421,7.0,arousal,tool,placebo,pos
subcort,medfront,0.9907199441655608,1.0,arousal,tool,placebo,pos
subcort,frontoparietal,0.9495285229546349,5.0,arousal,tool,placebo,pos
subcort,DMN,0.7211940695899403,2.0,arousal,tool,placebo,pos
subcort,motor,0.9676995554669717,3.0,arousal,tool,placebo,pos
subcort,visA,0.9218782096955785,1.0,arousal,tool,placebo,pos
subcort,visB,0.6684056904101858,0.0,arousal,tool,placebo,pos
subcort,visassoc,0.9341069912589809,0.0,arousal,tool,placebo,pos
subcort,salience,0.9247963956888536,3.0,arousal,tool,placebo,pos
subcort,subcort,0.6684056904101858,0.0,arousal,tool,placebo,pos
